"","x"
"663","Fam73a	
Q8BLR3	Q8BLR3_MOUSE	Kdm4b		Kdm4b"
"664","Jmjd2b	
E0CYR5	E0CYR5_MOUSE	Litaf	ENSMUST00000162323;	Litaf	
Q99N81	Q99N81_MOUSE	Dll1		Dll1	
A0A1L1SUM1	A0A1L1SUM1_MOUSE	Tmem45b	ENSMUST00000213807;	Tmem45b	
Q8CB05	Q8CB05_MOUSE	Apbb1ip		Apbb1ip	
A0A087WPS5	A0A087WPS5_MOUSE	Cep70	ENSMUST00000191014;	Cep70	
Q9ERY7	Q9ERY7_MOUSE				
K7U5Q9	K7U5Q9_MOUSE				
Q9D9G6	Q9D9G6_MOUSE	Nudt16l2		Nudt16l2"
"665","1700080E11Rik	
A0A1B0GSJ9	A0A1B0GSJ9_MOUSE	Zfp511	ENSMUST00000211789;	Zfp511	
A0A0A6YXC5	A0A0A6YXC5_MOUSE	Fcer1a	ENSMUST00000193017;	Fcer1a	
A0A140LJH7	A0A140LJH7_MOUSE	Slco2b1	ENSMUST00000207090;	Slco2b1	
Q05B39	Q05B39_MOUSE	Nfia		Nfia	18027;
Q3UQ25	Q3UQ25_MOUSE	Pde3b		Pde3b	18576;
Q8BK89	Q8BK89_MOUSE	Tubb2b		Tubb2b	
E9Q2D3	E9Q2D3_MOUSE	Zfp202	ENSMUST00000168832;	Zfp202	
A0A087WRB0	A0A087WRB0_MOUSE	Rgs2	ENSMUST00000153527;	Rgs2	
Q3UJM3	Q3UJM3_MOUSE				
A0A1B0GQY8	A0A1B0GQY8_MOUSE	Arfip2	ENSMUST00000209870;	Arfip2	
A0A286YD45	A0A286YD45_MOUSE	Tpbpb	ENSMUST00000223978;	Tpbpb	
A0A494BAY0	A0A494BAY0_MOUSE	Vps37c	ENSMUST00000237437;	Vps37c	
D3Z1B6	D3Z1B6_MOUSE	Rgs10	ENSMUST00000147840;	Rgs10	
Q6ZZA0	Q6ZZA0_MOUSE	H2Aa		H2Aa	
Q3TVZ0	Q3TVZ0_MOUSE	Tspan3		Tspan3	
A8E635	A8E635_MOUSE	Chsy1		Chsy1	
Q62143	Q62143_MOUSE	Q8/9d		Q8/9d	
Q91XY1	Q91XY1_MOUSE	Pcdhga7		Pcdhga7"
"666","Pcdhga6	
Q9D5L1	Q9D5L1_MOUSE	4930426L09Rik		4930426L09Rik	
Q3UYR9	Q3UYR9_MOUSE	Ext2		Ext2	
Q61104	Q61104_MOUSE				
Q6KAT3	Q6KAT3_MOUSE	Cndp2		Cndp2"
"667","mFLJ00064	
A0A0A6YY04	A0A0A6YY04_MOUSE	Nr5a2	ENSMUST00000192357;	Nr5a2	26424;
A0A0G2JE25	A0A0G2JE25_MOUSE	Nras	ENSMUST00000197678;	Nras	
Q923D9	Q923D9_MOUSE	Rtp4		Rtp4	
Q3V0L6	Q3V0L6_MOUSE	Gm10638		Gm10638"
"668","Siah1a	
F6RBS7	F6RBS7_MOUSE	Afg1l	ENSMUST00000149832;	Afg1l"
"669","Lace1	
Q3UXF8	Q3UXF8_MOUSE	BC048403		BC048403	
A0A0A6YWW0	A0A0A6YWW0_MOUSE	Trbj2-1	ENSMUST00000103293;	Trbj2-1	
Q6W055	Q6W055_MOUSE	Olfr576		Olfr576	
F6YCJ0	F6YCJ0_MOUSE	Arfgef2	ENSMUST00000144847;	Arfgef2	
Q80UN0	Q80UN0_MOUSE	Usp14		Usp14	
A0A1L1SU72	A0A1L1SU72_MOUSE	Chrna3	ENSMUST00000214204;	Chrna3	
Q6P5N6	Q6P5N6_MOUSE	Zfp799	ENSMUST00000201499;	Zfp799	240064;
G5E836	G5E836_MOUSE	Slc5a4a	ENSMUST00000020450;	Slc5a4a"
"670","mCG_3127	64452;
A2CF88	A2CF88_MOUSE	Alox15		Alox15"
"671","mCG_21185	11687;
Q8C4C4	Q8C4C4_MOUSE	Rgma	ENSMUST00000119206;	Rgma	
Q9QWI2	Q9QWI2_MOUSE	Slc1a1		Slc1a1	
Q7TRN5	Q7TRN5_MOUSE	Olfr692	ENSMUST00000098152;	Olfr692	
Q19PV3	Q19PV3_MOUSE				
Q9D5Q6	Q9D5Q6_MOUSE	Speer4f1	ENSMUST00000076099;	Speer4f1"
"672","Speer4f"
"673","mCG_6381	70935;
Q3TPW0	Q3TPW0_MOUSE	Trub1		Trub1	
H3BLH6	H3BLH6_MOUSE	Mok	ENSMUST00000177224;	Mok	
F6WSZ3	F6WSZ3_MOUSE	Kcnma1	ENSMUST00000172099;	Kcnma1	
Q8BQT4	Q8BQT4_MOUSE	Brd7		Brd7	
A0A0A6YX34	A0A0A6YX34_MOUSE	Ints7	ENSMUST00000194785;	Ints7	
A0A1W2P7V9	A0A1W2P7V9_MOUSE	Map2k2	ENSMUST00000220329;	Map2k2	
Q3U6W4	Q3U6W4_MOUSE	Hmox2		Hmox2	
Q6ZQG6	Q6ZQG6_MOUSE	Plagl2		Plagl2"
"674","mKIAA0198	
A0A2R8VH27	A0A2R8VH27_MOUSE	Acr	ENSMUST00000231216;	Acr	
A0A1W2P6W4	A0A1W2P6W4_MOUSE	Gadd45b	ENSMUST00000220246;	Gadd45b	
D3Z508	D3Z508_MOUSE	Dlgap1	ENSMUST00000140728;	Dlgap1	224997;
Q3U480	Q3U480_MOUSE	Nop9		Nop9"
